,latitude,longitude,blk_no,road_name,postal_code,address
490,1.34256242373969,103.739259690913,249,JURONG EAST STREET 24,600249,JURONG EAST ST 24
491,1.33651456396491,103.744135775847,100,JURONG EAST STREET 21,609602,JURONG EAST ST 21
492,1.34256242373969,103.739259690913,249,JURONG EAST STREET 24,600249,JURONG EAST ST 24
493,1.33923937978478,103.735234488699,112A,JURONG EAST STREET 13,601112,JURONG EAST ST 13
494,1.33923937978478,103.735234488699,112A,JURONG EAST STREET 13,601112,JURONG EAST ST 13
495,1.33651456396491,103.744135775847,100,JURONG EAST STREET 21,609602,JURONG EAST ST 21
496,1.34224789591235,103.737310855243,91,JURONG EAST AVENUE 1,609786,JURONG EAST AVE 1
497,1.32052026841644,103.742651512921,37,TEBAN GARDENS ROAD,600037,TEBAN GDNS RD
498,1.3481114562343,103.73224640617,,JURONG EAST ST 32,NIL,JURONG EAST ST 32
499,1.33923937978478,103.735234488699,112A,JURONG EAST STREET 13,601112,JURONG EAST ST 13
